CD_STAT_SECTOR,prop_type,total_sales
12030A000,apartments,78
12030A01-,apartments,7
12030A020,apartments,40
12030A100,apartments,43
12030A132,apartments,1
12030A291,apartments,4
12030A310,apartments,1
12030B000,apartments,19
12030B101,apartments,14
12030B112,apartments,43
12030C000,apartments,78
12030D000,apartments,9
12030D080,apartments,1
12030_UNKNOWN,apartments,7
12034A00-,apartments,56
12034A01-,apartments,15
12034A02-,apartments,18
12034A03-,apartments,8
12034A091,apartments,1
12034A112,apartments,2
12034B00-,apartments,9
12034B010,apartments,6
12034B032,apartments,2
12034B091,apartments,2
12034C000,apartments,6
12034C01-,apartments,1
12034_UNKNOWN,apartments,1
12035A001,apartments,40
12035A011,apartments,11
12035A022,apartments,5
12035A032,apartments,3
12035A042,apartments,18
12035A091,apartments,9
12035A101,apartments,45
12035A110,apartments,8
12035A123,apartments,4
12035A200,apartments,14
12035A211,apartments,3
12035A222,apartments,2
12035B00-,apartments,42
12035B01-,apartments,19
12035B02-,apartments,26
12035B0AA,apartments,1
12035B0PA,apartments,7
12035_UNKNOWN,apartments,7
12040A00-,apartments,78
12040A01-,apartments,141
12040A04-,apartments,35
12040A10-,apartments,24
12040A21-,apartments,11
12040A221,apartments,3
12040A23-,apartments,6
12040A243,apartments,4
12040A311,apartments,36
12040A320,apartments,3
12040A372,apartments,2
12040A411,apartments,171
12040A422,apartments,70
12040A433,apartments,6
12040A512,apartments,95
12040B090,apartments,1
12040C000,apartments,21
12040C010,apartments,31
12040C02-,apartments,3
12040D00-,apartments,17
12040D011,apartments,32
12040D022,apartments,2
12040D072,apartments,1
12040D091,apartments,10
12040D11-,apartments,3
12040_UNKNOWN,apartments,6
13001A00-,apartments,109
13001A01-,apartments,53
13001A02-,apartments,1
13001A100,apartments,1
13001A221,apartments,13
13001A230,apartments,22
13001_UNKNOWN,apartments,10
13002A000,apartments,44
13002A012,apartments,4
13002A10-,apartments,6
13003A00-,apartments,91
13003A011,apartments,29
13003A04-,apartments,19
13003A05-,apartments,12
13003A39-,apartments,1
13003A401,apartments,20
13003A500,apartments,1
13003A590,apartments,1
13003A612,apartments,4
13003A701,apartments,22
13003A711,apartments,20
13003A782,apartments,4
13003B000,apartments,22
13004A001,apartments,170
13004A010,apartments,7
13004A021,apartments,18
13004A043,apartments,2
13004A0MA,apartments,2
13004A101,apartments,20
13004A312,apartments,19
13004A323,apartments,44
13004B001,apartments,40
13004B012,apartments,25
13004B091,apartments,3
13006A000,apartments,60
13006A011,apartments,1
13006A030,apartments,3
13006A10-,apartments,41
13006A212,apartments,7
13008A001,apartments,125
13008A002,apartments,124
13008A003,apartments,132
13008A01-,apartments,44
13008A021,apartments,43
13008A030,apartments,198
13008A091,apartments,31
13008A10-,apartments,1
13008A19-,apartments,2
13008A20-,apartments,18
13008A301,apartments,25
13008A400,apartments,29
13008A50-,apartments,53
13008A58-,apartments,12
13008A60-,apartments,33
13008A6PB,apartments,1
13008A70-,apartments,14
13008A79-,apartments,8
13008A811,apartments,175
13008A820,apartments,6
13008A833,apartments,1
13008A842,apartments,22
13008A892,apartments,80
13008A900,apartments,354
13008A91-,apartments,8
13008A92-,apartments,37
13008A942,apartments,3
13008B800,apartments,15
13008_UNKNOWN,apartments,8
13010A00-,apartments,107
13010A010,apartments,24
13010A021,apartments,2
13010A032,apartments,1
13010A10-,apartments,17
13010A1QV,apartments,13
13010A212,apartments,2
13010B00-,apartments,7
13010_UNKNOWN,apartments,2
13011A00-,apartments,163
13011A02-,apartments,144
13011A03-,apartments,174
13011A040,apartments,247
13011A05-,apartments,31
13011A100,apartments,1
13011A200,apartments,23
13011A212,apartments,3
13011A301,apartments,53
13011A39-,apartments,3
13011A412,apartments,80
13011A423,apartments,60
13011B000,apartments,51
13011B011,apartments,3
13011B091,apartments,3
13011B100,apartments,5
13011C000,apartments,31
13011_UNKNOWN,apartments,6
13012A000,apartments,60
13012A01-,apartments,9
13012A020,apartments,30
13012_UNKNOWN,apartments,1
13013A00-,apartments,50
13013A01-,apartments,11
13013A030,apartments,12
13013A091,apartments,1
13013A100,apartments,2
13013A200,apartments,16
13013B00-,apartments,10
13013_UNKNOWN,apartments,1
13014A00-,apartments,75
13014A01-,apartments,164
13014A02-,apartments,11
13014A03-,apartments,6
13014A042,apartments,38
13014A053,apartments,66
13014A084,apartments,30
13014A0MA,apartments,1
13014A0PA,apartments,3
13014B00-,apartments,89
13014C00-,apartments,14
13014D00-,apartments,38
13014D10-,apartments,14
13014E001,apartments,8
13014_UNKNOWN,apartments,1
13016A000,apartments,68
13016A01-,apartments,36
13016A07-,apartments,19
13016B000,apartments,71
13016C001,apartments,25
13016C0AA,apartments,5
13016_UNKNOWN,apartments,1
13017A00-,apartments,121
13017A010,apartments,6
13017A041,apartments,58
13017A081,apartments,13
13017A402,apartments,11
13017B000,apartments,65
13017B01-,apartments,10
13017B021,apartments,1
13017B081,apartments,4
13017B213,apartments,1
13017C000,apartments,32
13017C021,apartments,1
13017C030,apartments,7
13017C042,apartments,7
13017_UNKNOWN,apartments,3
13019A00-,apartments,58
13019A02-,apartments,31
13019A041,apartments,3
13019A05-,apartments,8
13019B000,apartments,13
13019B010,apartments,9
13019B022,apartments,5
13019C000,apartments,64
13019C011,apartments,21
13019C030,apartments,15
13019C091,apartments,1
13019D000,apartments,32
13019D02-,apartments,4
13019_UNKNOWN,apartments,1
13021A00-,apartments,75
13021A021,apartments,14
13021A031,apartments,14
13021A04-,apartments,35
13021A100,apartments,11
13021A200,apartments,9
13021_UNKNOWN,apartments,2
13023A001,apartments,47
13023A032,apartments,22
13023A333,apartments,1
13025A00-,apartments,215
13025A01-,apartments,148
13025A021,apartments,11
13025A03-,apartments,178
13025A042,apartments,5
13025A052,apartments,3
13025A0MB,apartments,10
13025A101,apartments,13
13025A11-,apartments,1
13025A30-,apartments,90
13025A31-,apartments,8
13025A321,apartments,8
13025A332,apartments,1
13025A40-,apartments,33
13025A50-,apartments,4
13025A60-,apartments,123
13025A61-,apartments,2
13025A700,apartments,29
13025A80-,apartments,26
13025A812,apartments,3
13025_UNKNOWN,apartments,7
13029A000,apartments,64
13029A10-,apartments,44
13029A11-,apartments,2
13029A12-,apartments,4
13029A131,apartments,3
13029A20-,apartments,65
13029_UNKNOWN,apartments,7
13031A000,apartments,84
13031A010,apartments,8
13031A022,apartments,1
13031A033,apartments,7
13031A100,apartments,22
13031A122,apartments,4
13031A20-,apartments,28
13031A211,apartments,11
13035A00-,apartments,117
13035A01-,apartments,1
13035A03-,apartments,12
13035B00-,apartments,16
13035B031,apartments,1
13035B08-,apartments,1
13035B10-,apartments,21
13035C00-,apartments,61
13035C0JB,apartments,2
13035_UNKNOWN,apartments,1
13036A000,apartments,163
13036A020,apartments,11
13036A091,apartments,1
13037A001,apartments,40
13037A012,apartments,37
13037A021,apartments,8
13037A031,apartments,14
13037A053,apartments,26
13037A091,apartments,14
13037A100,apartments,21
13037A112,apartments,3
13037A293,apartments,7
13037A3PA,apartments,2
13040A000,apartments,358
13040A012,apartments,218
13040A021,apartments,123
13040A031,apartments,140
13040A042,apartments,257
13040A051,apartments,39
13040A091,apartments,6
13040A100,apartments,38
13040A112,apartments,14
13040A120,apartments,4
13040A209,apartments,30
13040A2PA,apartments,1
13040A310,apartments,24
13040A50-,apartments,189
13040A601,apartments,133
13040A613,apartments,96
13040A622,apartments,162
13040A700,apartments,260
13040A714,apartments,57
13040A721,apartments,161
13040A732,apartments,31
13040A742,apartments,91
13040A753,apartments,70
13040A793,apartments,21
13040A810,apartments,88
13040_UNKNOWN,apartments,6
13044A000,apartments,108
13044A020,apartments,10
13044A030,apartments,3
13044A091,apartments,1
13046A001,apartments,49
13046A01-,apartments,79
13046A042,apartments,34
13046A053,apartments,3
13046A10-,apartments,25
13046A11-,apartments,11
13049A00-,apartments,56
13049A011,apartments,6
13049A022,apartments,23
13049A032,apartments,17
13049A081,apartments,5
13049A10-,apartments,12
