CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
12021A101,285000.0,2023
12021A101,285000.0,2023
12021A101,230000.0,2023
12021A200,327500.0,2023
12021A200,327500.0,2023
12021A200,320000.0,2023
12021A301,285000.0,2023
12021A301,285000.0,2023
12021A301,247500.0,2023
12021A40-,298000.0,2023
12021A40-,298000.0,2023
12025A02-,320000.0,2023
12025A06-,382000.0,2023
12025A06-,382000.0,2023
12025A06-,240000.0,2023
12025A10-,277500.0,2023
12025A11-,284000.0,2023
12025A12-,328500.0,2023
12025A12-,328500.0,2023
12025A20-,255000.0,2023
12025A20-,255000.0,2023
12025A21-,293250.0,2023
12025A21-,305000.0,2023
12025A22-,284000.0,2023
12025A22-,284000.0,2023
12025A301,295000.0,2023
12025A301,295000.0,2023
12025A332,299000.0,2023
12025A332,299000.0,2023
12025A401,335000.0,2023
12025A401,335000.0,2023
12025A401,332000.0,2023
12025A42-,355000.0,2023
12025A42-,355000.0,2023
12025A462,300000.0,2023
12025A462,300000.0,2023
