CD_STAT_SECTOR,prop_type,total_sales
11055B010,2-3 facades house,9
11055B02-,2-3 facades house,2
11055B030,2-3 facades house,17
11055B110,2-3 facades house,22
11055B120,2-3 facades house,24
11055_UNKNOWN,2-3 facades house,13
11056A00-,2-3 facades house,142
11056A01-,2-3 facades house,143
11056A02-,2-3 facades house,43
11056A03-,2-3 facades house,53
11056A04-,2-3 facades house,47
11056A05-,2-3 facades house,49
11056A081,2-3 facades house,1
11056A091,2-3 facades house,13
11056A210,2-3 facades house,107
11056A220,2-3 facades house,262
11056A312,2-3 facades house,28
11056A412,2-3 facades house,52
11056B00-,2-3 facades house,249
11056B01-,2-3 facades house,230
11056B02-,2-3 facades house,213
11056B032,2-3 facades house,10
11056B053,2-3 facades house,26
11056B072,2-3 facades house,1
11056B091,2-3 facades house,19
11056B17-,2-3 facades house,17
11056B273,2-3 facades house,6
11056_UNKNOWN,2-3 facades house,12
11057A00-,2-3 facades house,51
11057A010,2-3 facades house,83
11057A02-,2-3 facades house,50
11057A03-,2-3 facades house,39
11057A042,2-3 facades house,7
11057A091,2-3 facades house,1
11057A10-,2-3 facades house,13
11057A132,2-3 facades house,3
11057A3PW,2-3 facades house,4
11057B00-,2-3 facades house,61
11057B02-,2-3 facades house,28
11057B04-,2-3 facades house,28
11057B0MA,2-3 facades house,1
11057B0PA,2-3 facades house,7
11057B1PN,2-3 facades house,1
11057B212,2-3 facades house,6
11057B22-,2-3 facades house,23
11057B233,2-3 facades house,13
11057B32-,2-3 facades house,20
11057B335,2-3 facades house,1
11057_UNKNOWN,2-3 facades house,17
12002A001,2-3 facades house,73
12002A012,2-3 facades house,131
12002A023,2-3 facades house,143
12002A0AB,2-3 facades house,18
12002A0PB,2-3 facades house,23
12002A19-,2-3 facades house,1
12002A200,2-3 facades house,54
12002A21-,2-3 facades house,13
12002A29-,2-3 facades house,11
12002A300,2-3 facades house,191
12002A3MA,2-3 facades house,9
12002A3PA,2-3 facades house,38
12002_UNKNOWN,2-3 facades house,15
12005A000,2-3 facades house,182
12005A01-,2-3 facades house,35
12005A02-,2-3 facades house,27
12005A032,2-3 facades house,14
12005A081,2-3 facades house,6
12005A091,2-3 facades house,3
12005A100,2-3 facades house,129
12005A11-,2-3 facades house,17
12005A190,2-3 facades house,13
12005B00-,2-3 facades house,65
12005B01-,2-3 facades house,19
12005B022,2-3 facades house,4
12005B0PN,2-3 facades house,3
12005B18-,2-3 facades house,11
12005B191,2-3 facades house,2
12005B202,2-3 facades house,3
12005B291,2-3 facades house,1
12005B39-,2-3 facades house,7
12005_UNKNOWN,2-3 facades house,18
12007A001,2-3 facades house,352
12007A01-,2-3 facades house,79
