CD_STAT_SECTOR,total_sales_2013_2024
13006A030,135
13006A042,100
13006A053,22
13006A064,20
13006A0MA,14
13006A0NA,6
13006A0PA,120
13006A10-,417
13006A115,50
13006A212,173
13006_UNKNOWN,44
13008A001,233
13008A002,250
13008A003,304
13008A01-,166
13008A021,155
13008A022,18
13008A030,520
13008A091,187
13008A10-,89
13008A19-,124
13008A20-,176
13008A212,92
13008A2AA,14
13008A2PA,120
13008A301,101
13008A312,16
13008A372,40
13008A391,22
13008A400,181
13008A491,72
13008A50-,195
13008A512,44
13008A58-,88
13008A591,8
13008A60-,101
13008A61-,44
13008A67-,10
13008A6MB,6
13008A6PB,33
13008A70-,122
13008A78-,142
13008A79-,134
13008A811,533
13008A820,162
13008A833,201
13008A842,334
13008A855,150
13008A892,316
13008A900,636
13008A91-,126
13008A92-,205
13008A934,76
13008A942,49
13008A981,116
13008B800,221
13008B81-,38
13008B82-,14
13008B832,92
13008B881,18
13008B890,26
13008_UNKNOWN,152
13010A00-,461
13010A010,202
13010A021,264
13010A032,171
13010A0MA,2
13010A0PA,86
13010A10-,187
13010A112,146
13010A1PR,16
13010A1QV,21
13010A1WV,16
13010A212,86
13010A292,26
13010B00-,159
13010B01-,248
13010B022,118
13010B033,38
13010B044,16
13010B091,26
13010_UNKNOWN,76
13011A00-,395
13011A02-,594
13011A03-,546
13011A040,775
13011A05-,291
13011A081,26
13011A0MA,18
13011A0PA,12
13011A100,427
13011A111,178
13011A122,54
13011A133,106
13011A144,26
13011A190,126
13011A200,399
13011A212,63
13011A270,20
13011A291,28
13011A301,345
13011A312,12
13011A39-,99
13011A412,250
13011A423,162
13011B000,385
13011B011,153
13011B022,82
13011B032,14
13011B074,2
13011B083,62
13011B091,91
13011B100,133
13011C000,301
13011C090,74
13011_UNKNOWN,76
13012A000,836
13012A01-,191
13012A020,272
13012A032,46
13012A0MV,4
13012A0PV,268
13012_UNKNOWN,31
13013A00-,190
13013A01-,195
13013A02-,266
13013A030,160
13013A042,26
13013A083,310
13013A091,361
13013A100,252
13013A11-,52
13013A190,78
13013A200,224
13013A290,288
13013B00-,142
13013B02-,122
13013B08-,230
13013B0AA,88
13013B0PA,294
13013_UNKNOWN,59
13014A00-,145
13014A01-,414
13014A02-,65
13014A03-,58
13014A042,336
13014A053,180
13014A084,90
13014A0MA,77
13014A0PA,59
13014B00-,469
13014B012,162
13014B091,88
13014B19-,88
13014C00-,120
13014C01-,56
13014C03-,62
13014C041,28
13014C050,84
13014C08-,6
13014C0PA,58
13014C112,68
13014C191,34
13014C28-,30
13014C29-,2
13014C392,8
13014D00-,416
13014D03-,72
13014D08-,44
13014D0MB,10
13014D0PB,52
13014D10-,160
13014D2AA,10
13014D2PA,2
13014E001,226
13014E012,4
13014E090,24
13014E10-,2
13014E19-,2
13014_UNKNOWN,81
13016A000,672
13016A01-,354
13016A07-,49
13016A099,70
13016B000,347
13016B090,166
13016C001,323
13016C012,18
13016C0AA,21
13016C0PA,50
13016_UNKNOWN,55
13017A00-,261
13017A010,44
13017A021,102
13017A03-,106
13017A041,240
13017A052,74
13017A081,43
13017A091,66
13017A102,48
13017A11-,12
13017A12-,6
13017A13-,42
13017A190,24
13017A21-,12
13017A30-,20
13017A39-,18
13017A402,115
13017A412,110
13017A423,60
13017A484,6
13017B000,217
13017B01-,166
13017B021,81
13017B031,88
13017B042,118
13017B052,88
13017B081,56
13017B091,142
13017B10-,12
13017B191,16
13017B213,129
13017B222,58
13017B312,72
13017C000,204
13017C01-,104
13017C021,111
13017C030,73
13017C042,65
13017C090,44
13017_UNKNOWN,81
13019A00-,246
13019A012,18
13019A02-,147
13019A031,32
13019A041,51
13019A05-,92
13019A091,138
13019A112,28
13019A122,34
13019A133,16
13019A21-,44
13019B000,381
13019B010,97
13019B022,97
13019B083,60
13019B091,260
13019C000,272
13019C011,129
13019C02-,8
13019C030,125
13019C042,44
13019C091,109
13019C112,92
13019C194,6
13019D000,212
13019D01-,16
13019D02-,40
13019D032,52
13019D043,42
13019D091,96
13019_UNKNOWN,51
13021A00-,403
13021A01-,40
13021A021,202
13021A031,194
13021A04-,197
13021A052,102
13021A08-,32
13021A091,22
13021A100,133
13021A182,44
13021A190,138
13021A200,167
13021A21-,10
13021A290,88
13021A2PA,50
13021A312,38
13021_UNKNOWN,52
13023A001,325
13023A02-,82
13023A032,152
13023A08-,18
13023A0PB,188
13023A162,82
13023A18-,30
13023A191,48
13023A262,40
13023A263,12
13023A2MA,16
13023A2PA,28
13023A322,58
13023A333,197
13023A344,62
13023A355,72
13023_UNKNOWN,26
13025A00-,483
13025A01-,626
13025A021,163
13025A03-,542
13025A042,173
13025A052,45
13025A081,68
13025A0MB,58
13025A0PB,20
13025A101,283
13025A11-,109
13025A122,20
13025A20-,4
13025A29-,26
13025A30-,862
13025A31-,308
13025A321,266
13025A332,91
13025A39-,62
13025A40-,317
13025A4PA,354
13025A50-,458
13025A512,66
13025A523,104
13025A591,8
13025A60-,559
13025A61-,108
13025A622,82
